graph,phons,cgram,genre,nmbre,frfrm,frlex,cfrlex,nvarphon,schwa,redcons,nvarsem,vimag,ngraphs,nphons,nsyll,igraph,iphons,mgraph,pugraph,puphon,nbhom,nbhomg,nbhomp,nvoisort,phons1,phons2,freqdigr
a,a,NO,m,,2531,2531,340,0,0,0,0,0,1,1,1,a,a,A,3,2,0,0,1,0,V,V,0.00
à,a,PR,,,2010176,2010176,630,0,0,0,0,0,1,1,1,à,a,A,2,2,0,0,1,0,V,V,0.00
abaissement,abèsmâ,NO,m,,676,676,283,0,0,0,0,0,11,6,3,tnemessiaba,âmsèba,ABAISSEMENT,8,5,0,0,0,0,VCVCCV,VBVSNV,2.94
abaisser,abésé,VB,,,1671,1671,322,0,0,0,0,0,8,5,3,ressiaba,éséba,ABAISSER,8,4,0,0,0,0,VCVCV,VBVSV,2.88
abandon,abâdô,NO,m,,3497,3497,354,0,0,0,0,0,7,5,3,nodnaba,ôdâba,ABANDON,8,5,0,0,0,0,VCVCV,VBVBV,2.63
abandonner,abâdoné,VB,,,9814,9814,399,0,0,0,0,0,10,7,4,rennodnaba,énodâba,ABANDONNER,8,5,0,0,0,0,VCVCVCV,VBVBVNV,2.74
abaque,abak,NO,m,,0,0,0,0,0,0,0,0,6,4,2,euqaba,kaba,ABAQUE,4,4,0,0,0,0,VCVC,VBVP,2.50
abasourdir,abazuRdiR,VB,,,12,12,111,0,0,0,0,0,10,9,4,ridruosaba,RidRuzaba,ABASOURDIR,10,9,0,0,0,0,VCVCVCCVC,VBVZVLBVL,2.68
abasourdissant,abazuRdisâ,AJ,m,,4,4,69,0,0,0,0,0,14,10,5,tnassidruosaba,âsidRuzaba,ABASOURDISSANT,15,11,0,0,0,0,VCVCVCCVCV,VBVZVLBVSV,2.76
abasourdissante,abazuRdisât,AJ,f,,-1,4,69,0,0,0,0,0,15,11,5,etnassidruosaba,tâsidRuzaba,ABASOURDISSANTE,15,11,0,0,0,0,VCVCVCCVCV,VBVZVLBVSV,2.76
abâtardir,abAtaRdiR,VB,,,38,38,159,0,0,0,0,0,9,9,4,ridratâba,RidRatAba,ABATARDIR,3,3,0,0,0,0,VCVCVCCVC,VBVPVLBVL,2.31
abat-jour,abajuR,NO,m,,293,293,246,0,0,0,0,0,9,6,3,ruoj-taba,Rujaba,ABAT-JOUR,5,4,0,0,0,0,VCVCVC,VBVZVL,2.27
abats,aba,NO,m,p,63,63,180,0,0,0,0,0,5,3,2,staba,aba,ABATS,5,2,0,0,0,1,CCV,VBV,1.96
abattage,abataj,NO,m,,42,42,163,0,0,0,1,0,8,6,3,egattaba,jataba,ABATTAGE,6,5,0,0,0,0,VCVCVC,VBVPVZ,2.54
abattement,abatmâ,NO,m,,251,251,240,0,0,0,1,0,10,6,3,tnemettaba,âmtaba,ABATTEMENT,6,5,0,0,0,0,VCVCCV,VBVPNV,2.87
abattis,abati,NO,m,p,46,46,167,0,0,0,0,0,7,5,3,sittaba,itaba,ABATTIS,6,5,0,0,0,0,VCVCV,VBVPV,2.68
abattoir,abatüaR,NO,m,,268,268,242,0,0,0,0,0,8,7,3,riottaba,Raütaba,ABATTOIR,6,5,0,0,0,0,VCVCYVC,VBVPYVL,2.75
abattre,abatR^,VB,,,3297,3297,351,0,1,0,0,0,7,6,3,erttaba,^Rtaba,ABATTRE,6,5,0,0,0,2,VCVCCV,VBVPLV,2.85
abattu,abaty,AJ,m,,1578,1578,319,0,0,0,0,0,6,5,3,uttaba,ytaba,ABATTU,7,5,0,0,1,0,VCVCV,VBVPV,2.43
abattue,abaty,AJ,f,,-1,1578,319,0,0,0,0,0,7,5,3,euttaba,ytaba,ABATTUE,7,5,0,0,1,1,VCVCV,VBVPV,2.63
abbatial,abasïal,AJ,m,,97,97,199,0,0,0,0,0,8,7,3,laitabba,laïsaba,ABBATIAL,9,6,0,0,1,0,VCVCYVC,VBVSYVL,2.27
abbatiale,abasïal,AJ,f,,-1,97,199,0,0,0,0,0,9,7,3,elaitabba,laïsaba,ABBATIALE,9,6,0,0,1,0,VCVCYVC,VBVSYVL,2.45
abbatiaux,abasïO,AJ,m,p,-1,97,199,0,0,0,0,0,9,6,3,xuaitabba,Oïsaba,ABBATIAUX,8,6,0,0,0,0,VCVCYV,VBVSYV,2.32
abbaye,abéi,NO,f,,527,527,272,0,0,0,0,0,6,4,3,eyabba,iéba,ABBAYE,5,4,0,0,0,0,VCVV,VBVV,1.42
abbé,abé,NO,m,,10176,10176,400,0,0,0,0,4,4,3,2,ébba,éba,ABBE,4,4,0,0,0,0,VCV,VBV,1.46
abbesse,abès,NO,f,,233,233,236,0,0,0,0,0,7,4,2,essebba,sèba,ABBESSE,4,5,0,0,0,0,VCVC,VBVS,2.34
abc,Abésé,NO,m,,4,4,69,0,0,0,0,0,3,5,3,cba,ésébA,ABC,4,2,0,0,0,1,VCVCV,VBVSV,1.14
abcès,apsè,NO,m,,412,412,261,0,0,0,0,0,5,4,2,sècba,èspa,ABCES,4,4,0,0,0,1,VCCV,VPSV,0.57
abdication,abdikAsïô,NO,f,,323,323,251,0,0,0,0,0,10,9,4,noitacidba,ôïsAkidba,ABDICATION,5,6,0,0,0,0,VCCVCVCYV,VBBVPVSYV,2.46
abdiquer,abdiké,VB,,,502,502,270,0,0,0,0,0,8,6,3,reuqidba,ékidba,ABDIQUER,5,6,0,0,0,0,VCCVCV,VBBVPV,2.42
abdomen,abdomèn,NO,m,,123,123,209,0,0,0,0,0,7,7,3,nemodba,nèmodba,ABDOMEN,6,6,0,0,0,0,VCCVCVC,VBBVNVN,2.28
abdominal,abdominal,AJ,m,,76,76,188,0,0,0,0,0,9,9,4,lanimodba,lanimodba,ABDOMINAL,10,8,0,0,1,0,VCCVCVCVC,VBBVNVNVL,2.26
abdominale,abdominal,AJ,f,,-1,76,188,0,0,0,0,0,10,9,4,elanimodba,lanimodba,ABDOMINALE,10,8,0,0,1,0,VCCVCVCVC,VBBVNVNVL,2.42
abdominaux,abdominO,NO,m,p,-1,-2,-2,0,0,0,0,0,10,8,4,xuanimodba,Onimodba,ABDOMINAUX,9,8,1,1,1,0,VCCVCVCV,VBBVNVNV,2.31
abdominaux,abdominO,AJ,m,p,-1,-2,-2,0,0,0,0,0,10,8,4,xuanimodba,Onimodba,ABDOMINAUX,9,8,1,1,1,0,VCCVCVCV,VBBVNVNV,2.31
